epoch,accuracy,loss,val_accuracy,val_loss
0,0.7285133600234985,0.7033793330192566,0.7700421810150146,0.7602774500846863
1,0.8664343953132629,0.36959606409072876,0.7320675253868103,0.9579267501831055
2,0.9233449697494507,0.22910825908184052,0.7763713002204895,0.8123217821121216
3,0.9436701536178589,0.1701536327600479,0.7637130618095398,0.9168358445167542
4,0.9567363262176514,0.11788654327392578,0.7658227682113647,1.0383903980255127
5,0.9686411023139954,0.10114260762929916,0.7953586578369141,0.8391088843345642
